Cod	Secc	Curso	Tipo	Horario	Aula	Docente
CM1H2	B	CALCULO DE PROBABILIDADES	TEORIA	JU 16-18	R1-460	FLORES LUYO, LUIS ERNESTO
CM1H2	B	CALCULO DE PROBABILIDADES	LABORATORIO	MA 10-12	SALA 3	ACUÑA ORTEGA, RICHARD FLAVIO
CM1H2	C	CALCULO DE PROBABILIDADES	TEORIA	MI 14-16	J3-232	PÉREZ ORTIZ, JOAQUÍN OMAR
CM1H2	C	CALCULO DE PROBABILIDADES	LABORATORIO	MA 10-12	SALA 4	JARA HUANCA, FIDEL
CM2A1	A	CALCULO DIFERENCIAL E INTEGRAL AVANZADO	TEORIA	MA 14-16	R1-411	VALVERDE MONTORO, JOHNNY MOISÉS
CM2A1	A	CALCULO DIFERENCIAL E INTEGRAL AVANZADO	TEORIA	MI 14-16	R1-440	VALVERDE MONTORO, JOHNNY MOISÉS
CM2A1	A	CALCULO DIFERENCIAL E INTEGRAL AVANZADO	TEORIA	VI 14-16	R1-460	VALVERDE MONTORO, JOHNNY MOISÉS
CM2A1	A	CALCULO DIFERENCIAL E INTEGRAL AVANZADO	PRACTICA	SA 14-16	J3-222	PÉREZ ORTIZ, JOAQUÍN OMAR
CM2A1	B	CALCULO DIFERENCIAL E INTEGRAL AVANZADO	TEORIA	MA 13-15	J3-182B	SULCA CHIPANA, JORGE JOEL
CM2A1	B	CALCULO DIFERENCIAL E INTEGRAL AVANZADO	TEORIA	MI 14-16	J3-182B	SULCA CHIPANA, JORGE JOEL
CM2A1	B	CALCULO DIFERENCIAL E INTEGRAL AVANZADO	TEORIA	VI 14-16	J3-182A	SULCA CHIPANA, JORGE JOEL
CM2A1	B	CALCULO DIFERENCIAL E INTEGRAL AVANZADO	PRACTICA	SA 14-16	J3-242	PAUCAR ROJAS, RINA ROXANA
CM2A1	C	CALCULO DIFERENCIAL E INTEGRAL AVANZADO	TEORIA	SA 8-10	J3-252	GUIMARAY HUERTA, HÉCTOR CARLOS
CM2A1	C	CALCULO DIFERENCIAL E INTEGRAL AVANZADO	TEORIA	MA 8-10	R1-421	GUIMARAY HUERTA, HÉCTOR CARLOS
CM2A1	C	CALCULO DIFERENCIAL E INTEGRAL AVANZADO	TEORIA	JU 8-10	R1-411	GUIMARAY HUERTA, HÉCTOR CARLOS
CM2A1	C	CALCULO DIFERENCIAL E INTEGRAL AVANZADO	PRACTICA	SA 14-16	J3-232	NUÑEZ SULLCA, ALBERTH JOHN
CM2A1	D	CALCULO DIFERENCIAL E INTEGRAL AVANZADO	TEORIA	SA 8-10	J3-232	NUÑEZ SULLCA, ALBERTH JOHN
CM2A1	D	CALCULO DIFERENCIAL E INTEGRAL AVANZADO	TEORIA	MA 8-10	J3-232	NUÑEZ SULLCA, ALBERTH JOHN
CM2A1	D	CALCULO DIFERENCIAL E INTEGRAL AVANZADO	TEORIA	JU 8-10	J3-232	NUÑEZ SULLCA, ALBERTH JOHN
CM2A1	D	CALCULO DIFERENCIAL E INTEGRAL AVANZADO	PRACTICA	SA 14-16	J3-182B	SALAZAR FLORES, ELIZABETH RUTH
CM2A2	A	ANALISIS REAL	TEORIA	LU 10-12	J3-182B	ESCALANTE DEL ÁGUILA, SEGUNDO FÉLIX
CM2A2	A	ANALISIS REAL	TEORIA	MI 10-12	J3-162B	ESCALANTE DEL ÁGUILA, SEGUNDO FÉLIX
CM2A2	A	ANALISIS REAL	TEORIA	VI 10-12	J3-232	ESCALANTE DEL ÁGUILA, SEGUNDO FÉLIX
CM2A2	A	ANALISIS REAL	PRACTICA	SA 8-11	J3-162A	LA ROSA OBANDO, LAURA BETZABÉ
CM2A2	B	ANALISIS REAL	TEORIA	LU 16-18	R1-430	CHULLUNCUY CENTENO, ANDRES VICENTE
CM2A2	B	ANALISIS REAL	TEORIA	MI 16-18	R1-430	CHULLUNCUY CENTENO, ANDRES VICENTE
CM2A2	B	ANALISIS REAL	TEORIA	VI 16-18	R1-460	CHULLUNCUY CENTENO, ANDRES VICENTE
CM2A2	B	ANALISIS REAL	PRACTICA	SA 8-11	J3-162B	OSTOS CORDERO, BENITO LEONARDO
CM2B1	A	ALGEBRA LINEAL II	TEORIA	MI 10-12	J3-182A	OSTOS CORDERO, BENITO LEONARDO
CM2B1	A	ALGEBRA LINEAL II	TEORIA	VI 10-12	J3-182B	OSTOS CORDERO, BENITO LEONARDO
CM2B1	A	ALGEBRA LINEAL II	PRACTICA	JU 14-16	R1-440	OSTOS CORDERO, BENITO LEONARDO
CM2F1	A	PROGRAMACION ESTRUCTURADA	TEORIA	LU 8-10	R3-209	PEREZ CUPE, RÓSULO HILARIÓN
CM2F1	A	PROGRAMACION ESTRUCTURADA	LABORATORIO	LU 10-12	SALA 4	PEREZ CUPE, RÓSULO HILARIÓN
CM2F1	A	PROGRAMACION ESTRUCTURADA	LABORATORIO	VI 8-10	SALA 1	PEREZ CUPE, RÓSULO HILARIÓN
CM2F2	A	PROCESADOR DE TEXTO Y PROGRAMACION	TEORIA	LU 18-21	SALA 1	CRIBILLERO ACHING, JUAN AURELIO
CM2F2	A	PROCESADOR DE TEXTO Y PROGRAMACION	TEORIA	VI 18-21	SALA 1	CRIBILLERO ACHING, JUAN AURELIO
CM2G2	A	INTRODUCCION A LAS ECUACIONES DIFERENCIALES ORDINARIAS	TEORIA	JU 14-16	R3-123B	VILLANUEVA SANTOS, FELIX RICARDO
CM2G2	A	INTRODUCCION A LAS ECUACIONES DIFERENCIALES ORDINARIAS	TEORIA	JU 18-20	R3-123B	VILLANUEVA SANTOS, FELIX RICARDO
CM2G2	A	INTRODUCCION A LAS ECUACIONES DIFERENCIALES ORDINARIAS	PRACTICA	MA 18-20	R3-209	MAS HUAMAN, RONALD JESUS
CM2H1	A	MATEMATICA DISCRETA	TEORIA	MA 10-12	R1-440	MAS HUAMAN, RONALD JESUS
CM2H1	A	MATEMATICA DISCRETA	TEORIA	JU 10-12	J3-242	MAS HUAMAN, RONALD JESUS
CM2H1	A	MATEMATICA DISCRETA	PRACTICA	VI 16-18	J3-232	PÉREZ ORTIZ, JOAQUÍN OMAR
CM2H1	B	MATEMATICA DISCRETA	TEORIA	LU 18-20	R1-450	SALINAS ZAVALA, CHRISTOPER JESUS
CM2H1	B	MATEMATICA DISCRETA	TEORIA	MI 18-20	R1-430	SALINAS ZAVALA, CHRISTOPER JESUS
CM2H1	B	MATEMATICA DISCRETA	PRACTICA	VI 16-18	J3-232	SALAZAR FLORES, ELIZABETH RUTH
CM2H2	A	ESTADISTICA INFERENCIAL	TEORIA	MA 16-18	R1-421	PANIZO GARCIA, GONZALO
CM2H2	A	ESTADISTICA INFERENCIAL	LABORATORIO	JU 16-18	SALA 2	PANIZO GARCIA, GONZALO
CM2H2	B	ESTADISTICA INFERENCIAL	TEORIA	MA 10-12	R1-450	SALAZAR FLORES, ELIZABETH RUTH
CM2H2	B	ESTADISTICA INFERENCIAL	LABORATORIO	JU 16-18	SALA 3	PÉREZ ORTIZ, JOAQUÍN OMAR
CM2I2	A	ESTRUCTURAS ALGEBRAICAS	TEORIA	MA 8-10	J3-142	MAS HUAMAN, RONALD JESUS
CM2I2	A	ESTRUCTURAS ALGEBRAICAS	TEORIA	JU 8-10	J3-162A	MAS HUAMAN, RONALD JESUS
CM2I2	A	ESTRUCTURAS ALGEBRAICAS	PRACTICA	LU 8-10	J3-152	MAS HUAMAN, RONALD JESUS
CM3A1	A	ANALISIS COMPLEJO	TEORIA	LU 10-12	R1-440	TORIBIO CANGANA, MANUEL TEODOSIO
CM3A1	A	ANALISIS COMPLEJO	TEORIA	MI 10-12	R1-440	TORIBIO CANGANA, MANUEL TEODOSIO
CM3A1	A	ANALISIS COMPLEJO	PRACTICA	VI 10-12	R1-411	TORIBIO CANGANA, MANUEL TEODOSIO
CM3C1	A	ANALISIS EN RN	TEORIA	LU 14-16	J3-152	METZGER ALVAN, ROGER JAVIER
CM3C1	A	ANALISIS EN RN	TEORIA	MI 14-16	J3-222	METZGER ALVAN, ROGER JAVIER
CM3C1	A	ANALISIS EN RN	PRACTICA	VI 14-16	J3-232	METZGER ALVAN, ROGER JAVIER
CM3C2	A	TEORIA DE LA MEDIDA	TEORIA	MA 16-18	J3-252	MAYTA GUILLERMO, JORGE ENRIQUE
CM3C2	A	TEORIA DE LA MEDIDA	TEORIA	JU 16-18	R1-411	MAYTA GUILLERMO, JORGE ENRIQUE
CM3C2	A	TEORIA DE LA MEDIDA	PRACTICA	VI 18-20	R1-421	MAYTA GUILLERMO, JORGE ENRIQUE
CM3E2	A	ANALISIS CONVEXO	TEORIA	MA 8-10	R1-440	NAVARRO ROJAS, FRANK
CM3E2	A	ANALISIS CONVEXO	TEORIA	JU 8-10	J3-162B	NAVARRO ROJAS, FRANK
CM3E2	A	ANALISIS CONVEXO	PRACTICA	LU 10-12	R1-450	ECHEGARAY CASTILLO, WILLIAM CARLOS
